year mm dd hh mm ss msec long lat alt
#START
2003 10 26 6 9 0 0 330.10 8.27 468.04
2003 10 26 6 10 0 0 329.91 4.41 468.36
2003 10 26 6 11 0 0 329.73 0.55 468.90
2003 10 26 6 12 0 0 329.54 -3.31 469.66
2003 10 26 6 13 0 0 329.36 -7.17 470.64
2003 10 26 6 14 0 0 329.18 -11.02 471.83
2003 10 26 6 15 0 0 329.00 -14.88 473.21
2003 10 26 6 16 0 0 328.82 -18.73 474.78
2003 10 26 6 17 0 0 328.64 -22.57 476.51
2003 10 26 6 18 0 0 328.47 -26.42 478.40
2003 10 26 6 19 0 0 328.31 -30.26 480.41
2003 10 26 6 20 0 0 328.15 -34.09 482.53
2003 10 26 6 21 0 0 328.00 -37.92 484.73
2003 10 26 6 22 0 0 327.86 -41.75 486.99
2003 10 26 6 23 0 0 327.74 -45.57 489.28
2003 10 26 6 24 0 0 327.63 -49.39 491.57
2003 10 26 6 25 0 0 327.55 -53.21 493.83
2003 10 26 6 26 0 0 327.50 -57.01 496.05
2003 10 26 6 27 0 0 327.49 -60.82 498.20
2003 10 26 6 28 0 0 327.56 -64.62 500.25
2003 10 26 6 29 0 0 327.72 -68.41 502.18
2003 10 26 6 30 0 0 328.05 -72.20 503.97
2003 10 26 6 31 0 0 328.68 -75.99 505.60
2003 10 26 6 32 0 0 329.95 -79.76 507.06
2003 10 26 6 33 0 0 332.95 -83.52 508.34
2003 10 26 6 34 0 0 344.63 -87.20 509.43
2003 10 26 6 35 0 0 103.56 -88.47 510.31
2003 10 26 6 36 0 0 132.23 -84.95 510.98
2003 10 26 6 37 0 0 136.82 -81.21 511.45
2003 10 26 6 38 0 0 138.53 -77.44 511.72
2003 10 26 6 39 0 0 139.35 -73.67 511.78
2003 10 26 6 40 0 0 139.77 -69.89 511.65
2003 10 26 6 41 0 0 139.99 -66.11 511.34
2003 10 26 6 42 0 0 140.08 -62.32 510.85
2003 10 26 6 43 0 0 140.10 -58.53 510.21
2003 10 26 6 44 0 0 140.07 -54.74 509.43
2003 10 26 6 45 0 0 140.00 -50.95 508.53
2003 10 26 6 46 0 0 139.90 -47.15 507.52
2003 10 26 6 47 0 0 139.78 -43.35 506.44
2003 10 26 6 48 0 0 139.64 -39.54 505.28
2003 10 26 6 49 0 0 139.50 -35.74 504.09
2003 10 26 6 50 0 0 139.34 -31.92 502.88
2003 10 26 6 51 0 0 139.18 -28.11 501.66
2003 10 26 6 52 0 0 139.01 -24.29 500.46
2003 10 26 6 53 0 0 138.84 -20.47 499.30
2003 10 26 6 54 0 0 138.66 -16.65 498.20
2003 10 26 6 55 0 0 138.48 -12.83 497.15
2003 10 26 6 56 0 0 138.30 -9.00 496.19
2003 10 26 6 57 0 0 138.11 -5.17 495.32
2003 10 26 6 58 0 0 137.93 -1.34 494.55
2003 10 26 6 59 0 0 137.74 2.49 493.88
2003 10 26 7 0 0 0 137.56 6.32 493.31
2003 10 26 7 1 0 0 137.38 10.15 492.85
2003 10 26 7 2 0 0 137.19 13.98 492.50
2003 10 26 7 3 0 0 137.01 17.81 492.24
2003 10 26 7 4 0 0 136.84 21.64 492.07
2003 10 26 7 5 0 0 136.67 25.47 491.99
2003 10 26 7 6 0 0 136.50 29.29 491.98
2003 10 26 7 7 0 0 136.34 33.12 492.02
2003 10 26 7 8 0 0 136.19 36.94 492.11
2003 10 26 7 9 0 0 136.04 40.76 492.22
2003 10 26 7 10 0 0 135.91 44.58 492.35
2003 10 26 7 11 0 0 135.80 48.40 492.47
2003 10 26 7 12 0 0 135.71 52.21 492.56
2003 10 26 7 13 0 0 135.65 56.02 492.62
2003 10 26 7 14 0 0 135.64 59.83 492.63
2003 10 26 7 15 0 0 135.68 63.64 492.56
2003 10 26 7 16 0 0 135.82 67.44 492.42
2003 10 26 7 17 0 0 136.10 71.25 492.18
2003 10 26 7 18 0 0 136.64 75.05 491.84
2003 10 26 7 19 0 0 137.70 78.84 491.40
2003 10 26 7 20 0 0 140.09 82.62 490.83
2003 10 26 7 21 0 0 147.90 86.36 490.15
2003 10 26 7 22 0 0 239.02 88.97 489.35
2003 10 26 7 23 0 0 298.20 85.77 488.44
2003 10 26 7 24 0 0 304.37 82.02 487.42
2003 10 26 7 25 0 0 306.44 78.23 486.29
2003 10 26 7 26 0 0 307.38 74.43 485.08
2003 10 26 7 27 0 0 307.87 70.62 483.78
2003 10 26 7 28 0 0 308.12 66.80 482.42
2003 10 26 7 29 0 0 308.24 62.99 481.01
2003 10 26 7 30 0 0 308.27 59.16 479.58
2003 10 26 7 31 0 0 308.25 55.34 478.14
2003 10 26 7 32 0 0 308.18 51.51 476.71
2003 10 26 7 33 0 0 308.09 47.68 475.31
2003 10 26 7 34 0 0 307.98 43.84 473.97
2003 10 26 7 35 0 0 307.84 40.00 472.71
2003 10 26 7 36 0 0 307.70 36.16 471.56
2003 10 26 7 37 0 0 307.55 32.31 470.52
2003 10 26 7 38 0 0 307.39 28.46 469.63
2003 10 26 7 39 0 0 307.22 24.61 468.90
2003 10 26 7 40 0 0 307.05 20.75 468.35
2003 10 26 7 41 0 0 306.87 16.90 468.00
2003 10 26 7 42 0 0 306.69 13.04 467.85
2003 10 26 7 43 0 0 306.51 9.18 467.91
2003 10 26 7 44 0 0 306.32 5.32 468.19
2003 10 26 7 45 0 0 306.14 1.46 468.69
2003 10 26 7 46 0 0 305.96 -2.40 469.41
2003 10 26 7 47 0 0 305.77 -6.25 470.35
2003 10 26 7 48 0 0 305.59 -10.11 471.51
2003 10 26 7 49 0 0 305.41 -13.96 472.86
2003 10 26 7 50 0 0 305.23 -17.81 474.40
2003 10 26 7 51 0 0 305.05 -21.66 476.11
2003 10 26 7 52 0 0 304.88 -25.51 477.98
2003 10 26 7 53 0 0 304.72 -29.35 479.98
2003 10 26 7 54 0 0 304.56 -33.19 482.09
2003 10 26 7 55 0 0 304.40 -37.02 484.29
2003 10 26 7 56 0 0 304.26 -40.85 486.55
2003 10 26 7 57 0 0 304.13 -44.67 488.84
2003 10 26 7 58 0 0 304.02 -48.49 491.15
2003 10 26 7 59 0 0 303.93 -52.30 493.44
2003 10 26 8 0 0 0 303.88 -56.11 495.68
2003 10 26 8 1 0 0 303.86 -59.92 497.86
2003 10 26 8 2 0 0 303.90 -63.72 499.94
2003 10 26 8 3 0 0 304.04 -67.51 501.91
2003 10 26 8 4 0 0 304.32 -71.30 503.74
2003 10 26 8 5 0 0 304.86 -75.09 505.42
2003 10 26 8 6 0 0 305.93 -78.87 506.93
2003 10 26 8 7 0 0 308.31 -82.63 508.26
2003 10 26 8 8 0 0 316.08 -86.35 509.40
2003 10 26 8 9 0 0 45.47 -88.98 510.33
2003 10 26 8 10 0 0 106.23 -85.83 511.06
2003 10 26 8 11 0 0 112.51 -82.10 511.58
2003 10 26 8 12 0 0 114.60 -78.34 511.89
2003 10 26 8 13 0 0 115.56 -74.56 512.01
2003 10 26 8 14 0 0 116.06 -70.79 511.92
2003 10 26 8 15 0 0 116.31 -67.00 511.65
2003 10 26 8 16 0 0 116.43 -63.22 511.20
2003 10 26 8 17 0 0 116.47 -59.43 510.59
2003 10 26 8 18 0 0 116.44 -55.64 509.84
2003 10 26 8 19 0 0 116.38 -51.85 508.96
2003 10 26 8 20 0 0 116.29 -48.05 507.97
2003 10 26 8 21 0 0 116.17 -44.25 506.89
2003 10 26 8 22 0 0 116.04 -40.45 505.74
2003 10 26 8 23 0 0 115.90 -36.64 504.55
